target_id,scope,scale,test_id,test_family,block_id,delta_r2,partial_r2,permutation_p,q_bh_block_specific,supported_0_05,handoff_status
environment_incremental:all_process_extension_beyond_core4,complete18_env_min5,within_taxon,all_process_extension_beyond_core4,omnibus,all_process_extension,0.01334957751742305,0.013535098842026137,0.24467553244675533,,False,observational_incremental_environment_target
environment_incremental:all_process_extension_beyond_core4,complete18_env_min5,among_taxon,all_process_extension_beyond_core4,omnibus,all_process_extension,0.19784857586375504,0.2149779830807262,0.0006999300069993001,,True,observational_incremental_environment_target
environment_incremental:radiative_atmospheric_drying_beyond_core4,complete18_env_min5,within_taxon,radiative_atmospheric_drying_beyond_core4,block_specific,radiative_atmospheric_drying,0.004247432449852484,0.004306459733167655,0.5108489151084892,0.6811318868113189,False,observational_incremental_environment_target
environment_incremental:radiative_atmospheric_drying_beyond_core4,complete18_env_min5,among_taxon,radiative_atmospheric_drying_beyond_core4,block_specific,radiative_atmospheric_drying,0.07664920157594823,0.08328536451479226,0.024397560243975602,0.0325300803253008,True,observational_incremental_environment_target
environment_incremental:mechanical_exposure_beyond_core4,complete18_env_min5,within_taxon,mechanical_exposure_beyond_core4,block_specific,mechanical_exposure,0.002583170834143278,0.002619069593800717,0.43975602439756023,0.6811318868113189,False,observational_incremental_environment_target
environment_incremental:mechanical_exposure_beyond_core4,complete18_env_min5,among_taxon,mechanical_exposure_beyond_core4,block_specific,mechanical_exposure,0.033601635275629205,0.03651081008914293,0.1326867313268673,0.1326867313268673,False,observational_incremental_environment_target
environment_incremental:growing_season_water_input_beyond_core4,complete18_env_min5,within_taxon,growing_season_water_input_beyond_core4,block_specific,growing_season_water_input,0.0019518290683344652,0.0019789539652597513,0.7707229277072293,0.7707229277072293,False,observational_incremental_environment_target
environment_incremental:growing_season_water_input_beyond_core4,complete18_env_min5,among_taxon,growing_season_water_input_beyond_core4,block_specific,growing_season_water_input,0.07238527003228468,0.07865226872803101,0.0007999200079992001,0.0031996800319968005,True,observational_incremental_environment_target
environment_incremental:climatic_productivity_beyond_core4,complete18_env_min5,within_taxon,climatic_productivity_beyond_core4,block_specific,climatic_productivity,0.003975264967172265,0.004030509893192996,0.06939306069393061,0.27757224277572246,False,observational_incremental_environment_target
environment_incremental:climatic_productivity_beyond_core4,complete18_env_min5,among_taxon,climatic_productivity_beyond_core4,block_specific,climatic_productivity,0.054998501120705034,0.05976018170347736,0.007499250074992501,0.014998500149985002,True,observational_incremental_environment_target
environment_incremental:all_process_extension_beyond_core4,complete18_env_min2,within_taxon,all_process_extension_beyond_core4,omnibus,all_process_extension,0.016313649890771886,0.0165116848256852,0.1307869213078692,,False,observational_incremental_environment_target
environment_incremental:all_process_extension_beyond_core4,complete18_env_min2,among_taxon,all_process_extension_beyond_core4,omnibus,all_process_extension,0.08734015500693604,0.09384859807735717,0.0301969803019698,,True,observational_incremental_environment_target
environment_incremental:radiative_atmospheric_drying_beyond_core4,complete18_env_min2,within_taxon,radiative_atmospheric_drying_beyond_core4,block_specific,radiative_atmospheric_drying,0.006897968052187342,0.006981703982736015,0.0484951504849515,0.193980601939806,False,observational_incremental_environment_target
environment_incremental:radiative_atmospheric_drying_beyond_core4,complete18_env_min2,among_taxon,radiative_atmospheric_drying_beyond_core4,block_specific,radiative_atmospheric_drying,0.035100598860490106,0.03771623710160665,0.09009099090090991,0.12012132120121322,False,observational_incremental_environment_target
environment_incremental:mechanical_exposure_beyond_core4,complete18_env_min2,within_taxon,mechanical_exposure_beyond_core4,block_specific,mechanical_exposure,0.004081288850163234,0.0041308325008616404,0.35596440355964404,0.5803419658034197,False,observational_incremental_environment_target
environment_incremental:mechanical_exposure_beyond_core4,complete18_env_min2,among_taxon,mechanical_exposure_beyond_core4,block_specific,mechanical_exposure,0.012540030623558684,0.013474492846671156,0.42305769423057693,0.42305769423057693,False,observational_incremental_environment_target
environment_incremental:growing_season_water_input_beyond_core4,complete18_env_min2,within_taxon,growing_season_water_input_beyond_core4,block_specific,growing_season_water_input,0.0016934554733557539,0.001714012696704914,0.5803419658034197,0.5803419658034197,False,observational_incremental_environment_target
environment_incremental:growing_season_water_input_beyond_core4,complete18_env_min2,among_taxon,growing_season_water_input_beyond_core4,block_specific,growing_season_water_input,0.028865663755377913,0.03101668500358701,0.007999200079992,0.031996800319968,True,observational_incremental_environment_target
environment_incremental:climatic_productivity_beyond_core4,complete18_env_min2,within_taxon,climatic_productivity_beyond_core4,block_specific,climatic_productivity,0.0029620756508413892,0.0029980329297244245,0.46635336466353366,0.5803419658034197,False,observational_incremental_environment_target
environment_incremental:climatic_productivity_beyond_core4,complete18_env_min2,among_taxon,climatic_productivity_beyond_core4,block_specific,climatic_productivity,0.023608060159311606,0.0253672935329844,0.036396360363963605,0.07279272072792721,False,observational_incremental_environment_target
