paper_japan_member_id,paper_taxon_concept,concept_key,endpoint_id,module,analysis_tier,n_observations,value_median,value_mean,value_sd,value_q25,value_q75,n_analysis_cells
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,capitulum_outline_aspect_ratio,shape,primary,3,0.9434782608695652,1.049662377028106,0.1977105722332486,0.93560467665327,1.1106280193236715,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,capitulum_outline_circularity,shape,primary,3,0.2792768252887375,0.25918900802059336,0.09317436181620779,0.2184430112203114,0.3099789134549474,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,capitulum_outline_solidity,shape,primary,3,0.8012000375781014,0.751562112288307,0.08810904244009804,0.725516227797242,0.8024269594242692,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,capitulum_width_profile_cv,shape,primary,3,0.4493701530710274,0.45057084157553157,0.04011373378398077,0.4302205422775617,0.47032079662124937,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,corolla_hue_cos,colour,primary,3,0.4689231184167188,0.5480143165363959,0.18757593859626054,0.44093004936724894,0.6155529846457043,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,corolla_hue_sin,colour,primary,3,-0.8832389874854596,-0.8137867965115069,0.1447836499807947,-0.8969992940978933,-0.7653003944120969,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,corolla_lab_chroma,colour,primary,3,47.50789260864258,47.769962310791016,4.306521778152249,45.554176330566406,49.854713439941406,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,corolla_lab_lightness,colour,primary,3,67.64705657958984,66.20914967854817,5.247920615234404,64.01960754394531,69.11764526367188,
JPN_05,Cirsium aomorense Nakai,Cirsium aomorense,orientation_image_vertical_angle,orientation,primary,3,109.52162019009651,108.58425283437028,9.301043877277763,104.18581947809324,113.45136986851043,
JPN_15,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,capitulum_outline_aspect_ratio,shape,primary,2,0.9867377372001431,0.9867377372001431,0.03384061658462661,0.9747732724668815,0.9987022019334049,
JPN_15,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,capitulum_outline_circularity,shape,primary,2,0.30330686253939004,0.30330686253939004,0.03978059623289848,0.28924229786142674,0.31737142721735334,
JPN_15,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,capitulum_outline_solidity,shape,primary,2,0.7936841222823652,0.7936841222823652,0.052231700965627445,0.7752174273095137,0.8121508172552168,
JPN_15,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,capitulum_width_profile_cv,shape,primary,2,0.45423469162041463,0.45423469162041463,0.09700781135680724,0.4199372510011828,0.48853213223964653,
JPN_15,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,corolla_hue_cos,colour,primary,2,0.6053644521048206,0.6053644521048206,0.28163475174086516,0.5057915307179428,0.7049373734916984,
