tranche,priority_order,population_id,taxon,field_block,colour_target,required_region,exact_locality_status,exact_locality,latitude,longitude,minimum_individuals,individual_id_pattern,aim1_population_genomics,aim2_orientation_candidate,aim2_colour_candidate,aim3_priority,matching_rule,field_verification_required,notes
core190,1,P001,Cirsium brevicaule,Ryukyu_Arenicola,white,Amami_Oshima,TBD_field_verified,TBD_field_verified,,,15,EA26-P001-I###,yes,yes,yes,transition_system_A,independent_population,yes,Do not encode phenotype or treatment in individual ID.
core190,2,P002,Cirsium brevicaule,Ryukyu_Arenicola,white,Okinawa_Honto,TBD_field_verified,TBD_field_verified,,,15,EA26-P002-I###,yes,yes,yes,transition_system_A,independent_population,yes,Do not encode phenotype or treatment in individual ID.
core190,3,P003,Cirsium brevicaule,Ryukyu_Arenicola,white,Southern_Amami_bridge_stratum_Yoron_or_Okinoerabu,TBD_field_verified,TBD_field_verified,,,15,EA26-P003-I###,yes,yes,yes,transition_system_A,niche_informed_bridge_stratum_distinct_from_P004,yes,Full-occurrence niche audit prioritizes the southern-Amami Yoron/Okinoerabu corridor at region-stratum level; verify extant population taxon colour permission and exact locality before collection.
core190,4,P004,Cirsium brevicaule,Ryukyu_Arenicola,white,Tokunoshima_bridge_stratum,TBD_field_verified,TBD_field_verified,,,15,EA26-P004-I###,yes,yes,yes,transition_system_A,niche_informed_bridge_stratum_distinct_from_P003,yes,Full-occurrence niche audit prioritizes Tokunoshima as the second locally supported intermediate environmental/geographic stratum; exact locality remains field-verified only.
core190,5,P005,Cirsium irumtiense,Ryukyu_Arenicola,coloured,Miyako,TBD_field_verified,TBD_field_verified,,,15,EA26-P005-I###,yes,yes,yes,transition_system_A,independent_population,yes,Verify extant flowering population and taxon before assigning individuals.
core190,6,P006,Cirsium irumtiense,Ryukyu_Arenicola,coloured,Ishigaki,TBD_field_verified,TBD_field_verified,,,15,EA26-P006-I###,yes,yes,yes,transition_system_A,independent_population,yes,Verify extant flowering population and taxon before assigning individuals.
core190,7,P007,Cirsium irumtiense,Ryukyu_Arenicola,coloured,Iriomote,TBD_field_verified,TBD_field_verified,,,15,EA26-P007-I###,yes,yes,yes,transition_system_A,independent_population,yes,Verify extant flowering population and taxon before assigning individuals.
core190,8,P008,Cirsium irumtiense,Ryukyu_Arenicola,coloured,Yonaguni,TBD_field_verified,TBD_field_verified,,,15,EA26-P008-I###,yes,yes,yes,transition_system_A,independent_population,yes,Verify extant flowering population and taxon before assigning individuals.
core190,9,P009,Cirsium pendulum,Japan_polymorphism,white,Northern_or_eastern_Japan_white_1,TBD_field_verified,TBD_field_verified,,,10,EA26-P009-I###,yes,no,yes,transition_system_B,pair_with_P011_nearby_coloured_population,yes,White status must be observed in the focal population rather than inferred from a form name.
core190,10,P010,Cirsium pendulum,Japan_polymorphism,white,Northern_or_eastern_Japan_white_2,TBD_field_verified,TBD_field_verified,,,10,EA26-P010-I###,yes,no,yes,transition_system_B,pair_with_P012_nearby_coloured_population,yes,Use an independent white population from P009.
core190,11,P011,Cirsium pendulum,Japan_polymorphism,coloured,Northern_or_eastern_Japan_coloured_1,TBD_field_verified,TBD_field_verified,,,10,EA26-P011-I###,yes,no,yes,transition_system_B,geographically_match_P009,yes,Choose the coloured comparison after confirming geography habitat and flowering overlap.
core190,12,P012,Cirsium pendulum,Japan_polymorphism,coloured,Northern_or_eastern_Japan_coloured_2,TBD_field_verified,TBD_field_verified,,,10,EA26-P012-I###,yes,no,yes,transition_system_B,geographically_match_P010,yes,Choose an independent matched comparison from P011.
core190,13,P013,Cirsium sieboldii,Japan_polymorphism,white,Honshu_Shikoku_wetland_white,TBD_field_verified,TBD_field_verified,,,15,EA26-P013-I###,yes,no,yes,backup_transition_system_C,match_P014_wetland_region,yes,White state and wetland context must be directly verified; full-occurrence niche space is more structured than the current one-pair design so a second matched W/C pair is conditional on morph-linked niche mapping.
core190,14,P014,Cirsium sieboldii,Japan_polymorphism,coloured,Honshu_Shikoku_wetland_coloured,TBD_field_verified,TBD_field_verified,,,15,EA26-P014-I###,yes,no,yes,backup_transition_system_C,match_P013_wetland_region,yes,Match geography habitat and flowering period as closely as feasible; do not expand counts until verified morph populations are placed in niche space.
