rank,decision_tier,system,taxon_or_target,existing_species_backbone,existing_sample_context,presequencing_blocker,new_data_modality,target_sampling,model_discriminated,status
1,A0,Taiwan Sinocirsium published-voucher morph recovery,Cirsium japonicum var. takaoense,"Chang 2026 phylotranscriptomic backbone; six published tips","All six vouchers now map one-to-one to six public runs/BioSamples through SampleName and isolate IDs; NCBI exposes no W/BP attribute","recover white versus bluish-purple identity for the six already identified public samples","high-resolution Figure 1/source file, author confirmation or TNM/TCF voucher evidence; no sequencing yet","all six vouchers assigned from direct evidence or retained explicitly unresolved","whether the existing transcriptome tree already contains both morphs",accession_identity_resolved_morph_pending
2,A1,Taiwan Sinocirsium morph population genomics,Cirsium japonicum var. takaoense,"species placement resolved by Chang 2026","six existing public transcriptomes can be reused once W/BP labels are recovered, but one sample per locality is insufficient for population-demographic model selection","identify extant white and coloured populations, mixed populations and cytotypes","RAD-seq or low-coverage resequencing plus plastid companion; reuse the six transcriptomes as labelled anchors when possible","white 20-30 and bluish-purple 20-30 across at least two populations per state; prioritize within-population polymorphism","parallel loss versus shared white origin plus regain versus ancestral polymorphism versus coloured introgression",top_priority_after_morph_resolution
3,A1,Japan transregional polymorphism,Cirsium pendulum,"exact Moreyra target-capture tip verified","existing tip is a coloured-background Trans-Baikal sample SAMN34240327/SRR25265649; it does not sample Japanese morphs","relocate reproducible Japanese white populations and nearby purple controls","RAD-seq or resequencing plus flow cytometry","Japanese white 20-30 plus nearby purple 20-30; add Korean/NE China/Primorye coloured populations 5-10 each and reuse Trans-Baikal anchor","recent Japanese loss versus repeated loss versus old transregional standing variation",top_priority_population_only
4,A1,Japan-China polymorphism,Cirsium sieboldii,"exact Moreyra target-capture tip verified","existing tip was cultivated at Barcelona and wild origin is unresolved","verify Japanese white population and Zhejiang taxon/population identity","RAD-seq or resequencing plus plastid companion","Japanese white 15-20 plus purple 15-20 across multiple populations; Zhejiang 5-10 per verified locality","Japanese derived loss versus old transregional polymorphism versus geographic structure",top_priority_population_only
5,A1,Taiwan matched polyploid loss replicate,Cirsium kawakamii + Cirsium tatakaense,"both have Chang 2025 and Chang 2026 phylotranscriptomic samples","white and coloured 2n=64 species context exists; population ancestry/homeolog history is sparse","confirm within-population cytotype and collect matched floral tissues","ploidy-aware RAD/resequencing plus floral RNA/pigment","2-4 populations per species; 15-20 individuals per population if feasible","independent regulatory loss versus shared polyploid ancestry/homeolog sorting versus introgression",mechanism_replicate
6,A1,Ryukyu repeated-loss population history,Cirsium brevicaule + Cirsium irumtiense,"species placement resolved by Chang 2026","three published samples per species; species-level context favours brevicaule white loss","paired geographic sampling and ploidy verification","RAD-seq or resequencing plus plastid companion","4-6 populations per species; 15-20 individuals per population","independent brevicaule white loss versus ancestral polymorphism/gene flow; shared versus distinct white mechanism",population_mechanism_priority
7,A2,Taiwan Sinocirsium ancestry controls,Cirsium japonicum var. albescens + var. australe + var. fukienense,"species placement resolved by Chang 2026","published taxon samples exist; morph/population ancestry remains sparse","define geographically matched control populations","RAD-seq/resequencing as controls within the takaoense analysis","albescens 2-4 populations; australe/fukienense 2-3 populations each; 10-20 individuals per population","shared white haplotype versus independent albescens/takaoense losses; coloured introgression source",paired_controls
8,A2,Taiwan basal coloured control,Cirsium pengii,"Chang 2025 and 2026 phylotranscriptomic placement verified","two samples in each study; 2n=32 coloured anchor","none beyond cytotype-matched population representation","limited RAD/resequencing or targeted reuse","2-3 populations; 10-15 individuals or fewer if only an ancestry anchor is needed","root-state and ploidy sensitivity for kawakamii/tatakaense",anchor_only
9,A2,NE Asia standing-variation candidate,Cirsium vlassovianum,"two Moreyra target-capture tips verified","Sikhote-Alin sample uses tree code C. coryletorum; second tip is Mongolian; historical white form not verified","verify extant white morph and reconcile C. coryletorum/C. vlassovianum taxonomy/cytotypes","geographically stratified RAD/resequencing only if white morph is verified","Korea/China/Russian Far East/Mongolia coloured populations plus verified white populations","old standing polymorphism versus local recurrent loss",conditional_population_genomics
10,B1,Korean endemic candidate,Cirsium setidens,"no exact Moreyra/Chang modern nuclear tip recovered","purple background and historical f. albiflorum; 2n=30/31/32","verify extant natural white material before sequencing","Compositae1061 target capture only if white is verified and no other modern nuclear data are found; then population genomics","placement: 2-3 individuals from one or more populations; population phase only after white confirmation","independent endemic white loss and its relation to other Korean lineages",conditional_species_gap
11,B1,Jeju endemic candidate,Cirsium rhinoceros,"no exact Moreyra/Chang nuclear tip; complete plastome only","purple background and historical white form; 2n=32 with conflicting older report","verify extant white material and nuclear-data absence","Compositae1061 target capture after confirmation; population genomics second","placement: 2-3 individuals across Jeju localities; dense white/coloured sampling only if polymorphism exists","independent endemic white loss versus maternal-history artefact",conditional_species_gap
