left,right,left_module,right_module,spearman_branch_change_magnitude
orientation_image_vertical_angle,corolla_lab_lightness,orientation,colour,0.6573426573426573
orientation_image_vertical_angle,corolla_lab_chroma,orientation,colour,0.2937062937062937
orientation_image_vertical_angle,corolla_hue,orientation,colour,0.40559440559440557
orientation_image_vertical_angle,capitulum_outline_aspect_ratio,orientation,shape,0.5454545454545454
orientation_image_vertical_angle,capitulum_outline_circularity,orientation,shape,0.8111888111888111
orientation_image_vertical_angle,capitulum_outline_solidity,orientation,shape,0.7482517482517482
orientation_image_vertical_angle,capitulum_width_profile_cv,orientation,shape,0.7692307692307693
corolla_lab_lightness,corolla_lab_chroma,colour,colour,0.14685314685314685
corolla_lab_lightness,corolla_hue,colour,colour,0.23776223776223776
corolla_lab_lightness,capitulum_outline_aspect_ratio,colour,shape,0.7412587412587412
corolla_lab_lightness,capitulum_outline_circularity,colour,shape,0.8251748251748252
corolla_lab_lightness,capitulum_outline_solidity,colour,shape,0.5664335664335665
corolla_lab_lightness,capitulum_width_profile_cv,colour,shape,0.6853146853146853
corolla_lab_chroma,corolla_hue,colour,colour,0.5174825174825175
corolla_lab_chroma,capitulum_outline_aspect_ratio,colour,shape,0.3916083916083916
corolla_lab_chroma,capitulum_outline_circularity,colour,shape,0.07692307692307693
corolla_lab_chroma,capitulum_outline_solidity,colour,shape,-0.13286713286713286
corolla_lab_chroma,capitulum_width_profile_cv,colour,shape,0.5804195804195804
corolla_hue,capitulum_outline_aspect_ratio,colour,shape,0.2097902097902098
corolla_hue,capitulum_outline_circularity,colour,shape,-0.006993006993006993
corolla_hue,capitulum_outline_solidity,colour,shape,0.055944055944055944
corolla_hue,capitulum_width_profile_cv,colour,shape,0.5804195804195804
capitulum_outline_aspect_ratio,capitulum_outline_circularity,shape,shape,0.7132867132867133
capitulum_outline_aspect_ratio,capitulum_outline_solidity,shape,shape,0.46853146853146854
capitulum_outline_aspect_ratio,capitulum_width_profile_cv,shape,shape,0.6503496503496503
capitulum_outline_circularity,capitulum_outline_solidity,shape,shape,0.7482517482517482
capitulum_outline_circularity,capitulum_width_profile_cv,shape,shape,0.6013986013986014
capitulum_outline_solidity,capitulum_width_profile_cv,shape,shape,0.3356643356643357
