accepted_taxon,checked_source,verification_status,geographic_note,flower_colour_status,chapter2_role,radseq_implication,notes
Cirsium domonii,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN34240283 / SRX21011499 / SRR25265717",exact_supplement_and_sra_tip_verified,Japan Honshu,unknown,nuclear_backbone_anchor,do_not_resample_for_species_placement,"Tree code, published species and NCBI scientific name agree"
Cirsium dipsacolepis,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN44017836 / SRX26291339 / SRR30887259",exact_supplement_and_sra_tip_verified,Japan,colour_not_textually_coded,independent_japan_lineage_context,only_if_colour_or_population_question,"Previously verified from the main-text context only; exact public sample is now recovered"
Cirsium pendulum,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN34240327 / SRX21011568 / SRR25265649",exact_supplement_and_sra_tip_verified,Russian Trans-Baikal bridge sample plus Japanese documented white form,polymorphic_purple_white,within_species_white_polymorphism_and_transregional_bridge,A_population_rad_or_resequencing,"Species placement is not a gap; Japanese white/coloured and continental population history remains a core gap"
Cirsium sieboldii,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN44017917 / SRX26291290 / SRR30887308 + Jin & Chen 2022",exact_supplement_and_sra_tip_verified,Japan and Zhejiang China concept,polymorphic_purple_white,within_species_white_polymorphism_and_east_asia_bridge,A_population_rad_or_resequencing,"Species placement is not a gap; published Moreyra sample is Japanese and does not replace paired Japanese morphs or Zhejiang population sampling"
Cirsium yezoense,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN44017952 / SRX26291371 / SRR30887226 + Kahaku + Jin & Chen 2022",exact_supplement_and_sra_tip_verified,Japan and Zhejiang China concept,coloured_pale_to_deep_red_purple,east_asia_coloured_bridge_control,B_or_A_if_transition_adjacent,"Use as a coloured control; species-level target capture need not be repeated"
Cirsium nipponicum,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN34240318 / SRX21011558 / SRR25265660",exact_supplement_and_sra_tip_verified,Japan/Korea taxonomic context,unknown,nuclear_backbone_and_reference_genome_context,B_until_colour_screened,"Exact Moreyra nuclear sample exists; do not infer Korean population history from the single sampled tip"
Cirsium tanakae,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN44017932 / SRX26291307 / SRR30887291",tree_code_and_sra_tip_verified_taxonomy_reconciliation_required,Japan,unknown,nipponicum_incomptum_name_complex,B_until_colour_screened,"Supplement tree code and NCBI name are C. tanakae, whereas the published species column identifies C. nipponicum var. incomptum"
Cirsium japonicum,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN44017885 / SRX26291327 / SRR30887271",exact_supplement_and_sra_tip_verified,Japan,typically_coloured,broad_east_asia_context,B_bridge_or_control,"Published species column identifies var. horridum; Taiwan/Ryukyu varieties remain covered by the separate Chang transcriptome datasets"
Cirsium maackii,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN34240313 / SRX21011572 / SRR25265685",supplement_tree_tip_verified_runinfo_name_mismatch,Russian Far East,unknown,broad_east_asia_bridge,B_bridge,"Tree code is C. maackii while NCBI scientific name is C. japonicum var. maackii; preserve both names pending authority-backed reconciliation"
Cirsium lineare,"Moreyra Supplementary Table S1 + PRJNA957074 SAMN44017876 / SRX26291359 / SRR30887240",exact_supplement_and_sra_tip_verified,Japan,coloured,east_asia_outgroup_and_backbone_anchor,do_not_resample_for_species_placement,"Also used as an outgroup/root reference in the Chang East Asian transcriptome framework; population data are a separate question"
